id_client;date_demande;sexe;Tranche d'age;Enfant conduite accompagnée;Enfants;Tranche Revenus;usage_vehicule;type_vehicule;Age du vehicule;type_conduite;Tranche Tarif;points_perdus
243;29/03/2022;F;[+65];oui;oui;[-50k];Commercial;Pickup;[N/A];Urban;[Moins de 300];0
244;10/05/2022;F;[+65];oui;oui;[50k-99k];Private;Sports Car;[N/A];Urban;[Moins de 300];6
245;14/05/2022;M;Mineur;oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[Moins de 300];3
246;19/01/2022;F;[+65];oui;oui;[N/A];Private;Van;[N/A];Urban;[Moins de 300];3
247;27/05/2022;M;[29-45];oui;oui;[50k-99k];Commercial;Pickup;[Moins de 10 ans];Urban;[300-599];0
248;13/01/2022;M;Mineur;oui;oui;[-50k];Commercial;Van;[Moins de 10 ans];Rural;[300-599];0
249;08/04/2022;M;[29-45];oui;oui;[-50k];Private;Pickup;[10-20];Urban;[300-599];0
250;26/04/2022;F;[29-45];oui;oui;[50k-99k];Private;Minivan;[N/A];Urban;[Moins de 300];2
251;30/01/2022;M;[18-28];oui;oui;[100k-149k];Private;SUV;[20 ans+];Urban;[300-599];1
252;18/05/2022;F;[29-45];oui;oui;[50k-99k];Commercial;SUV;[N/A];Rural;[Moins de 300];5
253;27/01/2022;M;[50-65];oui;oui;[-50k];Commercial;Minivan;[Moins de 10 ans];Urban;[300-599];3
254;13/02/2022;F;[50-65];oui;oui;[100k-149k];Private;Van;[N/A];Urban;[Moins de 300];0
255;26/04/2022;M;Mineur;oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Urban;[300-599];0
256;26/05/2022;M;[50-65];oui;oui;[50k-99k];Commercial;Van;[N/A];Rural;[300-599];2
257;06/02/2022;M;[50-65];oui;oui;[N/A];Private;Minivan;[N/A];Urban;[300-599];0
258;05/02/2022;F;[18-28];oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Urban;[Moins de 300];0
259;26/03/2022;F;[+65];oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Rural;[300-599];0
260;14/02/2022;F;[+65];oui;oui;[-50k];Commercial;Panel Truck;[10-20];Urban;[Moins de 300];4
261;17/04/2022;F;Mineur;oui;oui;[50k-99k];Commercial;Panel Truck;[Moins de 10 ans];Urban;[300-599];5
262;12/02/2022;F;[+65];oui;oui;[50k-99k];Commercial;Van;[Moins de 10 ans];Urban;[Moins de 300];1
263;20/03/2022;M;Mineur;oui;oui;[+150k];Commercial;Pickup;[N/A];Urban;[Moins de 300];0
264;24/03/2022;M;Mineur;oui;oui;[50k-99k];Commercial;Van;[10-20];Urban;[Moins de 300];7
265;28/05/2022;M;[+65];oui;oui;[-50k];Private;SUV;[N/A];Urban;[300-599];4
266;27/04/2022;M;[50-65];oui;oui;[50k-99k];Private;SUV;[Moins de 10 ans];Urban;[300-599];1
267;28/01/2022;M;[50-65];oui;oui;[50k-99k];Private;SUV;[Moins de 10 ans];Rural;[300-599];1
268;21/03/2022;M;Mineur;oui;oui;[+150k];Commercial;Panel Truck;[N/A];Urban;[Moins de 300];4
269;07/01/2022;F;[+65];oui;oui;[50k-99k];Private;SUV;[N/A];Urban;[300-599];0
270;15/05/2022;F;[50-65];oui;oui;[100k-149k];Private;Minivan;[N/A];Urban;[300-599];4
271;09/02/2022;F;[29-45];oui;oui;[-50k];Commercial;Sports Car;[N/A];Urban;[300-599];4
272;04/02/2022;M;[+65];oui;oui;[+150k];Commercial;Pickup;[N/A];Urban;[Moins de 300];3
273;30/04/2022;F;[29-45];oui;oui;[50k-99k];Commercial;Van;[Moins de 10 ans];Urban;[300-599];3
274;06/01/2022;M;[18-28];oui;oui;[50k-99k];Private;Van;[Moins de 10 ans];Urban;[Moins de 300];0
275;12/04/2022;M;[50-65];oui;oui;[50k-99k];Private;SUV;[Moins de 10 ans];Urban;[Moins de 300];2
276;25/04/2022;F;[+65];oui;oui;[50k-99k];Commercial;Panel Truck;[10-20];Urban;[Moins de 300];5
277;01/01/2022;M;[29-45];oui;oui;[50k-99k];Commercial;Pickup;[Moins de 10 ans];Urban;[300-599];4
278;16/03/2022;M;[50-65];oui;oui;[-50k];Commercial;Pickup;[Moins de 10 ans];Urban;[Moins de 300];5
279;20/03/2022;M;[18-28];oui;oui;[100k-149k];Commercial;Panel Truck;[20 ans+];Urban;[300-599];3
280;20/01/2022;M;[+65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[Moins de 300];3
281;10/05/2022;M;[50-65];oui;oui;[50k-99k];Private;Minivan;[N/A];Urban;[300-599];0
282;10/01/2022;M;Mineur;oui;oui;[-50k];Private;Sports Car;[N/A];Urban;[300-599];5
283;28/03/2022;F;Mineur;oui;oui;[50k-99k];Private;Sports Car;[N/A];Rural;[300-599];0
284;13/04/2022;F;[29-45];oui;oui;[-50k];Private;Minivan;[N/A];Urban;[300-599];4
285;21/02/2022;F;[+65];oui;oui;[50k-99k];Private;SUV;[Moins de 10 ans];Urban;[300-599];0
286;15/01/2022;F;[18-28];oui;oui;[-50k];Private;Pickup;[Moins de 10 ans];Urban;[300-599];2
287;25/01/2022;F;[29-45];oui;oui;[-50k];Commercial;Pickup;[10-20];Rural;[300-599];0
288;18/01/2022;M;[+65];oui;oui;[N/A];Private;Minivan;[Moins de 10 ans];Urban;[300-599];2
289;15/02/2022;F;[+65];oui;oui;[+150k];Commercial;Panel Truck;[N/A];Urban;[Moins de 300];0
290;27/01/2022;M;[50-65];oui;oui;[50k-99k];Private;Pickup;[N/A];Urban;[300-599];1
291;18/03/2022;M;[50-65];oui;oui;[-50k];Private;Pickup;[Moins de 10 ans];Urban;[Moins de 300];4
292;22/03/2022;M;[18-28];oui;oui;[50k-99k];Private;Pickup;[Moins de 10 ans];Urban;[300-599];0
293;07/03/2022;M;Mineur;oui;oui;[-50k];Private;Minivan;[N/A];Urban;[300-599];3
294;18/05/2022;M;Mineur;oui;oui;[50k-99k];Commercial;Van;[Moins de 10 ans];Urban;[300-599];0
295;01/05/2022;F;[18-28];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[Moins de 300];1
296;26/05/2022;F;[29-45];oui;oui;[50k-99k];Private;SUV;[N/A];Urban;[300-599];0
297;23/04/2022;F;Mineur;oui;oui;[-50k];Private;SUV;[N/A];Urban;[300-599];6
298;27/02/2022;F;[+65];oui;oui;[100k-149k];Private;Minivan;[N/A];Urban;[Moins de 300];1
299;16/04/2022;F;[+65];oui;oui;[50k-99k];Private;Pickup;[10-20];Urban;[Moins de 300];2
300;21/03/2022;F;[18-28];oui;oui;[-50k];Commercial;Panel Truck;[20 ans+];Urban;[Moins de 300];1
301;10/05/2022;M;[29-45];oui;oui;[-50k];Commercial;Sports Car;[Moins de 10 ans];Rural;[Moins de 300];0
302;11/04/2022;F;Mineur;oui;oui;[50k-99k];Private;Pickup;[10-20];Rural;[Moins de 300];0
303;13/05/2022;F;[50-65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Rural;[Moins de 300];0
304;26/05/2022;F;[+65];oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Urban;[300-599];3
305;03/03/2022;F;[+65];oui;oui;[-50k];Private;Pickup;[10-20];Rural;[Moins de 300];0
306;26/01/2022;F;[+65];oui;oui;[+150k];Private;Sports Car;[N/A];Urban;[Moins de 300];0
307;22/01/2022;M;Mineur;oui;oui;[100k-149k];Commercial;Pickup;[20 ans+];Urban;[Moins de 300];4
308;25/05/2022;F;[+65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[Moins de 300];0
309;03/02/2022;F;[18-28];oui;oui;[50k-99k];Private;Minivan;[N/A];Urban;[300-599];0
310;08/01/2022;F;[50-65];oui;oui;[100k-149k];Commercial;Panel Truck;[N/A];Urban;[Moins de 300];5
311;02/05/2022;F;[29-45];oui;oui;[-50k];Commercial;Minivan;[N/A];Rural;[Moins de 300];0
312;18/05/2022;M;[29-45];oui;oui;[-50k];Commercial;Sports Car;[Moins de 10 ans];Urban;[Moins de 300];0
313;25/05/2022;M;[29-45];oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Rural;[300-599];0
314;04/05/2022;M;[+65];oui;oui;[-50k];Private;Sports Car;[Moins de 10 ans];Urban;[300-599];2
315;16/04/2022;F;[50-65];oui;oui;[100k-149k];Private;Pickup;[N/A];Urban;[300-599];2
316;17/02/2022;M;[18-28];oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Urban;[300-599];0
317;25/04/2022;M;[+65];oui;oui;[100k-149k];Private;Minivan;[N/A];Urban;[300-599];0
318;24/03/2022;F;Mineur;oui;oui;[-50k];Commercial;Panel Truck;[Moins de 10 ans];Urban;[Moins de 300];0
319;24/01/2022;F;[50-65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Rural;[Moins de 300];0
320;03/03/2022;M;[+65];oui;oui;[N/A];Private;Pickup;[Moins de 10 ans];Rural;[300-599];0
321;29/01/2022;F;[50-65];oui;oui;[100k-149k];Private;Van;[N/A];Urban;[300-599];0
322;29/04/2022;F;[+65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Rural;[300-599];0
323;11/01/2022;F;[+65];oui;oui;[50k-99k];Private;Sports Car;[Moins de 10 ans];Urban;[300-599];0
324;11/05/2022;F;[29-45];oui;oui;[-50k];Commercial;Pickup;[Moins de 10 ans];Rural;[Moins de 300];7
325;07/05/2022;F;[50-65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[Moins de 300];6
326;08/02/2022;M;Mineur;oui;oui;[50k-99k];Commercial;Minivan;[Moins de 10 ans];Urban;[Moins de 300];3
327;01/02/2022;F;[+65];oui;oui;[50k-99k];Private;Minivan;[N/A];Urban;[300-599];2
328;10/03/2022;F;[50-65];oui;oui;[-50k];Commercial;SUV;[N/A];Urban;[300-599];3
329;08/03/2022;F;[50-65];oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Urban;[300-599];1
330;27/05/2022;F;[50-65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Rural;[300-599];1
331;07/01/2022;F;[50-65];oui;oui;[50k-99k];Private;Pickup;[Moins de 10 ans];Urban;[600-799];2
332;14/02/2022;M;[+65];oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Urban;[Moins de 300];0
333;21/02/2022;M;[29-45];oui;oui;[-50k];Private;Sports Car;[Moins de 10 ans];Urban;[Moins de 300];0
334;09/04/2022;M;[50-65];oui;oui;[-50k];Commercial;Van;[Moins de 10 ans];Rural;[Moins de 300];0
335;25/03/2022;F;[+65];oui;oui;[50k-99k];Commercial;Minivan;[Moins de 10 ans];Urban;[300-599];5
336;31/03/2022;F;[29-45];oui;oui;[50k-99k];Private;SUV;[20 ans+];Urban;[Moins de 300];0
337;02/02/2022;M;[18-28];oui;oui;[50k-99k];Private;Sports Car;[N/A];Urban;[Moins de 300];0
338;08/05/2022;M;[50-65];oui;oui;[-50k];Commercial;Pickup;[Moins de 10 ans];Urban;[300-599];0
339;04/04/2022;M;[29-45];oui;oui;[100k-149k];Commercial;SUV;[Moins de 10 ans];Urban;[Moins de 300];0
340;11/01/2022;F;[29-45];oui;oui;[-50k];Private;Sports Car;[Moins de 10 ans];Urban;[Moins de 300];3
341;22/03/2022;M;[50-65];oui;oui;[100k-149k];Commercial;Panel Truck;[Moins de 10 ans];Urban;[Moins de 300];4
342;30/01/2022;M;[+65];oui;oui;[-50k];Commercial;Sports Car;[Moins de 10 ans];Urban;[300-599];0
343;09/05/2022;M;[29-45];oui;oui;[50k-99k];Private;SUV;[Moins de 10 ans];Urban;[300-599];7
344;11/04/2022;M;[+65];oui;oui;[-50k];Commercial;Minivan;[Moins de 10 ans];Urban;[Moins de 300];3
345;10/01/2022;M;[50-65];oui;oui;[100k-149k];Commercial;Van;[Moins de 10 ans];Urban;[300-599];1
346;26/03/2022;M;[50-65];oui;oui;[100k-149k];Private;SUV;[N/A];Urban;[300-599];2
347;24/02/2022;F;[18-28];oui;oui;[50k-99k];Commercial;Panel Truck;[N/A];Urban;[Moins de 300];10
348;05/03/2022;F;[18-28];oui;oui;[100k-149k];Commercial;Panel Truck;[Moins de 10 ans];Urban;[Moins de 300];3
349;30/04/2022;F;[+65];oui;oui;[-50k];Private;Minivan;[10-20];Urban;[Moins de 300];0
350;26/01/2022;M;[29-45];oui;oui;[-50k];Private;Sports Car;[Moins de 10 ans];Rural;[300-599];0
351;06/01/2022;F;[+65];oui;oui;[100k-149k];Private;Minivan;[10-20];Urban;[600-799];4
352;09/01/2022;M;[29-45];oui;oui;[50k-99k];Private;Minivan;[N/A];Urban;[300-599];0
353;13/01/2022;M;[+65];oui;oui;[50k-99k];Commercial;SUV;[Moins de 10 ans];Urban;[300-599];1
354;10/05/2022;F;[+65];oui;oui;[+150k];Private;Sports Car;[20 ans+];Urban;[300-599];8
355;02/03/2022;M;[+65];oui;oui;[50k-99k];Commercial;Panel Truck;[Moins de 10 ans];Rural;[300-599];0
356;30/01/2022;F;[50-65];oui;oui;[50k-99k];Private;Minivan;[N/A];Urban;[Moins de 300];2
357;14/04/2022;F;[50-65];oui;oui;[N/A];Private;SUV;[20 ans+];Urban;[Moins de 300];0
358;29/05/2022;M;[29-45];oui;oui;[100k-149k];Commercial;Panel Truck;[N/A];Urban;[300-599];0
359;24/05/2022;M;Mineur;oui;oui;[-50k];Private;Pickup;[N/A];Urban;[Moins de 300];0
360;27/01/2022;F;[50-65];oui;oui;[50k-99k];Commercial;Pickup;[N/A];Rural;[300-599];2
361;07/05/2022;F;[50-65];oui;oui;[50k-99k];Private;Van;[N/A];Urban;[Moins de 300];3
362;06/03/2022;M;[+65];oui;oui;[-50k];Commercial;SUV;[Moins de 10 ans];Rural;[300-599];0
363;06/05/2022;M;[18-28];oui;oui;[-50k];Commercial;SUV;[Moins de 10 ans];Urban;[Moins de 300];1
364;23/01/2022;F;[50-65];oui;oui;[50k-99k];Private;Minivan;[Moins de 10 ans];Rural;[300-599];0
365;21/01/2022;M;[18-28];oui;oui;[-50k];Commercial;SUV;[Moins de 10 ans];Urban;[Moins de 300];3
366;24/05/2022;M;[50-65];oui;oui;[N/A];Private;Minivan;[N/A];Urban;[300-599];1
367;23/04/2022;F;[29-45];oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Rural;[Moins de 300];4
368;19/02/2022;F;[50-65];oui;oui;[100k-149k];Private;SUV;[Moins de 10 ans];Urban;[Moins de 300];0
369;10/01/2022;F;[+65];oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Rural;[Moins de 300];0
370;26/02/2022;M;Mineur;oui;oui;[-50k];Private;Sports Car;[N/A];Urban;[300-599];0
371;03/01/2022;F;[29-45];oui;oui;[-50k];Private;SUV;[10-20];Urban;[Moins de 300];0
372;27/01/2022;M;[50-65];oui;oui;[N/A];Private;Minivan;[N/A];Urban;[300-599];0
373;26/05/2022;M;[+65];oui;oui;[-50k];Commercial;Panel Truck;[Moins de 10 ans];Rural;[300-599];2
374;07/03/2022;F;[50-65];oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Urban;[300-599];3
375;16/04/2022;F;[50-65];oui;oui;[-50k];Private;SUV;[N/A];Urban;[Moins de 300];3
376;23/05/2022;M;[29-45];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[Moins de 300];3
377;08/01/2022;F;[+65];oui;oui;[-50k];Private;SUV;[N/A];Urban;[300-599];0
378;29/05/2022;M;[18-28];oui;oui;[50k-99k];Private;Minivan;[20 ans+];Urban;[300-599];0
379;10/01/2022;M;[+65];oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Urban;[300-599];1
380;18/04/2022;F;[50-65];oui;oui;[50k-99k];Private;Minivan;[N/A];Urban;[300-599];0
381;16/01/2022;M;Mineur;oui;oui;[+150k];Private;Minivan;[N/A];Urban;[Moins de 300];1
382;02/01/2022;M;[+65];oui;oui;[50k-99k];Commercial;Van;[Moins de 10 ans];Urban;[Moins de 300];2
383;18/03/2022;M;[+65];oui;oui;[100k-149k];Commercial;Van;[N/A];Urban;[300-599];3
384;19/01/2022;M;[+65];oui;oui;[100k-149k];Private;Sports Car;[N/A];Urban;[300-599];0
385;06/05/2022;M;Mineur;oui;oui;[50k-99k];Commercial;SUV;[N/A];Urban;[Moins de 300];0
386;27/04/2022;F;[+65];oui;oui;[-50k];Commercial;SUV;[Moins de 10 ans];Urban;[Moins de 300];3
387;16/02/2022;M;Mineur;oui;oui;[100k-149k];Private;Minivan;[N/A];Urban;[Moins de 300];4
388;06/03/2022;F;[+65];oui;oui;[N/A];Private;Pickup;[N/A];Urban;[Moins de 300];0
389;07/01/2022;M;[29-45];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Rural;[Moins de 300];0
390;23/02/2022;M;[+65];oui;oui;[100k-149k];Private;Minivan;[N/A];Urban;[Moins de 300];0
391;11/04/2022;F;[29-45];oui;oui;[100k-149k];Private;SUV;[N/A];Urban;[Moins de 300];0
392;16/03/2022;F;[29-45];oui;oui;[N/A];Private;Sports Car;[N/A];Urban;[300-599];1
393;13/05/2022;F;[29-45];oui;oui;[-50k];Commercial;Minivan;[N/A];Urban;[Moins de 300];2
394;08/01/2022;M;[29-45];oui;oui;[100k-149k];Commercial;Panel Truck;[Moins de 10 ans];Urban;[Moins de 300];1
395;13/03/2022;F;[+65];oui;oui;[100k-149k];Private;Van;[Moins de 10 ans];Urban;[Moins de 300];0
396;05/01/2022;M;[+65];oui;oui;[-50k];Commercial;Pickup;[Moins de 10 ans];Urban;[Moins de 300];3
397;17/02/2022;F;[29-45];oui;oui;[50k-99k];Commercial;Pickup;[Moins de 10 ans];Urban;[300-599];1
398;14/04/2022;M;[+65];oui;oui;[-50k];Private;SUV;[N/A];Rural;[300-599];0
399;10/02/2022;M;[+65];oui;oui;[-50k];Private;SUV;[10-20];Urban;[Moins de 300];2
400;17/04/2022;M;[+65];oui;oui;[50k-99k];Commercial;Minivan;[Moins de 10 ans];Rural;[Moins de 300];0
401;15/02/2022;F;Mineur;oui;oui;[N/A];Commercial;Sports Car;[Moins de 10 ans];Urban;[300-599];7
402;07/04/2022;M;Mineur;oui;oui;[100k-149k];Commercial;Panel Truck;[Moins de 10 ans];Urban;[300-599];0
403;11/01/2022;M;[+65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[Moins de 300];8
404;29/01/2022;M;[+65];oui;oui;[+150k];Commercial;Panel Truck;[N/A];Urban;[Moins de 300];0
405;27/01/2022;M;[50-65];oui;oui;[+150k];Commercial;Panel Truck;[N/A];Urban;[Moins de 300];5
406;09/04/2022;F;Mineur;oui;oui;[50k-99k];Private;Minivan;[Moins de 10 ans];Urban;[Moins de 300];0
407;04/02/2022;F;[18-28];oui;oui;[50k-99k];Commercial;SUV;[Moins de 10 ans];Urban;[Moins de 300];0
408;13/04/2022;M;Mineur;oui;oui;[50k-99k];Private;Minivan;[Moins de 10 ans];Urban;[300-599];2
409;01/03/2022;M;[29-45];oui;oui;[N/A];Commercial;Van;[N/A];Urban;[300-599];1
410;13/02/2022;F;[50-65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[300-599];0
411;27/03/2022;M;[50-65];oui;oui;[-50k];Commercial;Van;[Moins de 10 ans];Urban;[300-599];2
412;26/03/2022;M;[50-65];oui;oui;[100k-149k];Private;Sports Car;[N/A];Urban;[Moins de 300];0
413;05/04/2022;F;[+65];oui;oui;[50k-99k];Private;Pickup;[N/A];Urban;[300-599];0
414;23/01/2022;F;Mineur;oui;oui;[-50k];Private;SUV;[N/A];Rural;[300-599];2
415;14/02/2022;M;[+65];oui;oui;[50k-99k];Commercial;Pickup;[N/A];Urban;[Moins de 300];0
416;31/03/2022;F;[50-65];oui;oui;[-50k];Private;Pickup;[N/A];Urban;[Moins de 300];0
417;11/05/2022;M;[50-65];oui;oui;[-50k];Private;Pickup;[Moins de 10 ans];Urban;[300-599];1
418;24/03/2022;F;[29-45];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[300-599];7
419;29/03/2022;M;[+65];oui;oui;[-50k];Private;Pickup;[Moins de 10 ans];Urban;[Moins de 300];6
420;02/01/2022;F;[29-45];oui;oui;[N/A];Commercial;Panel Truck;[Moins de 10 ans];Urban;[300-599];0
421;29/05/2022;M;[+65];oui;oui;[-50k];Commercial;Pickup;[Moins de 10 ans];Urban;[300-599];5
422;18/04/2022;M;[18-28];oui;oui;[50k-99k];Private;Van;[N/A];Urban;[300-599];11
423;17/04/2022;M;[+65];oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Rural;[300-599];2
424;08/03/2022;M;[+65];oui;oui;[50k-99k];Commercial;Minivan;[Moins de 10 ans];Urban;[300-599];6
425;28/04/2022;F;[+65];oui;oui;[50k-99k];Private;Sports Car;[N/A];Urban;[Moins de 300];0
426;05/04/2022;M;[29-45];oui;oui;[50k-99k];Commercial;SUV;[Moins de 10 ans];Rural;[300-599];1
427;30/03/2022;M;[29-45];oui;oui;[-50k];Commercial;Minivan;[Moins de 10 ans];Urban;[300-599];0
428;09/04/2022;F;[50-65];oui;oui;[50k-99k];Private;Minivan;[Moins de 10 ans];Urban;[300-599];2
429;06/05/2022;F;[50-65];oui;oui;[100k-149k];Commercial;Panel Truck;[N/A];Urban;[Moins de 300];6
430;29/04/2022;F;[+65];oui;oui;[-50k];Private;SUV;[N/A];Rural;[300-599];4
431;03/01/2022;F;[29-45];oui;oui;[-50k];Commercial;SUV;[Moins de 10 ans];Urban;[Moins de 300];3
432;09/05/2022;M;[18-28];oui;oui;[50k-99k];Commercial;Panel Truck;[Moins de 10 ans];Rural;[800+];1
433;22/01/2022;F;[+65];oui;oui;[N/A];Commercial;Pickup;[N/A];Urban;[Moins de 300];0
434;29/04/2022;F;Mineur;oui;oui;[-50k];Private;Minivan;[N/A];Urban;[Moins de 300];0
435;24/02/2022;F;[+65];oui;oui;[50k-99k];Commercial;Panel Truck;[N/A];Urban;[300-599];5
436;01/04/2022;F;[50-65];oui;oui;[-50k];Commercial;Pickup;[Moins de 10 ans];Urban;[Moins de 300];0
437;12/02/2022;F;[+65];oui;oui;[50k-99k];Commercial;Pickup;[N/A];Urban;[Moins de 300];3
438;19/04/2022;F;[50-65];oui;oui;[-50k];Private;Van;[N/A];Urban;[300-599];0
439;06/02/2022;M;[+65];oui;oui;[-50k];Commercial;SUV;[Moins de 10 ans];Urban;[300-599];2
440;07/01/2022;F;[50-65];oui;oui;[-50k];Private;Sports Car;[Moins de 10 ans];Urban;[Moins de 300];0
441;19/03/2022;F;[29-45];oui;oui;[-50k];Commercial;Pickup;[Moins de 10 ans];Urban;[300-599];0
442;10/03/2022;F;[+65];oui;oui;[N/A];Private;Pickup;[N/A];Urban;[300-599];0
443;08/05/2022;F;[50-65];oui;oui;[-50k];Commercial;Pickup;[N/A];Urban;[300-599];0
444;09/03/2022;F;[+65];oui;oui;[50k-99k];Commercial;SUV;[Moins de 10 ans];Urban;[Moins de 300];0
445;20/04/2022;M;[+65];oui;oui;[-50k];Private;SUV;[N/A];Urban;[Moins de 300];2
446;05/04/2022;F;[+65];oui;oui;[100k-149k];Commercial;Pickup;[Moins de 10 ans];Urban;[300-599];3
447;20/05/2022;M;[29-45];oui;oui;[50k-99k];Private;SUV;[Moins de 10 ans];Urban;[Moins de 300];4
448;03/03/2022;M;[50-65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[Moins de 300];1
449;12/03/2022;F;[+65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[Moins de 300];2
450;06/01/2022;F;[+65];oui;oui;[50k-99k];Private;Sports Car;[N/A];Urban;[Moins de 300];0
451;17/01/2022;M;[29-45];oui;oui;[N/A];Commercial;Pickup;[Moins de 10 ans];Urban;[Moins de 300];7
452;04/03/2022;F;[+65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[300-599];1
453;28/02/2022;F;[50-65];oui;oui;[100k-149k];Private;SUV;[20 ans+];Urban;[300-599];0
454;22/03/2022;M;[29-45];oui;oui;[50k-99k];Commercial;Van;[Moins de 10 ans];Urban;[Moins de 300];0
455;09/05/2022;F;[18-28];oui;oui;[-50k];Commercial;Minivan;[10-20];Urban;[Moins de 300];0
456;11/03/2022;F;[29-45];oui;oui;[50k-99k];Commercial;Pickup;[N/A];Urban;[Moins de 300];0
457;19/02/2022;F;[50-65];oui;oui;[50k-99k];Commercial;Van;[Moins de 10 ans];Urban;[300-599];5
458;28/04/2022;F;[29-45];oui;oui;[-50k];Private;Sports Car;[Moins de 10 ans];Urban;[300-599];2
459;01/03/2022;M;[18-28];oui;oui;[+150k];Private;Pickup;[Moins de 10 ans];Urban;[Moins de 300];0
460;17/01/2022;M;[29-45];oui;oui;[50k-99k];Private;Minivan;[Moins de 10 ans];Urban;[Moins de 300];1
461;12/03/2022;M;[50-65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Rural;[300-599];0
462;14/04/2022;M;[29-45];oui;oui;[50k-99k];Private;Sports Car;[Moins de 10 ans];Urban;[Moins de 300];1
463;17/02/2022;M;[29-45];oui;oui;[50k-99k];Commercial;Panel Truck;[N/A];Urban;[Moins de 300];0
464;19/04/2022;F;[50-65];oui;oui;[50k-99k];Private;Minivan;[N/A];Urban;[Moins de 300];2
465;18/05/2022;M;[+65];oui;oui;[-50k];Commercial;Pickup;[Moins de 10 ans];Rural;[Moins de 300];0
466;13/03/2022;M;[+65];oui;oui;[50k-99k];Commercial;Pickup;[N/A];Rural;[Moins de 300];1
467;11/05/2022;F;Mineur;oui;oui;[+150k];Commercial;Van;[N/A];Urban;[Moins de 300];0
468;11/01/2022;F;Mineur;oui;oui;[50k-99k];Commercial;Panel Truck;[N/A];Urban;[300-599];1
469;09/05/2022;F;[18-28];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[300-599];2
470;04/01/2022;F;[50-65];oui;oui;[-50k];Commercial;Minivan;[Moins de 10 ans];Urban;[300-599];6
471;30/05/2022;F;[50-65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[Moins de 300];7
472;06/03/2022;M;[29-45];oui;oui;[50k-99k];Private;Minivan;[Moins de 10 ans];Urban;[Moins de 300];1
473;19/01/2022;M;[18-28];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[300-599];7
474;20/04/2022;F;Mineur;oui;oui;[50k-99k];Private;Pickup;[Moins de 10 ans];Urban;[300-599];2
475;24/05/2022;M;[50-65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[Moins de 300];1
476;26/03/2022;F;[18-28];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[Moins de 300];8
477;23/03/2022;F;[+65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[300-599];1
478;12/04/2022;M;[29-45];oui;oui;[100k-149k];Commercial;Panel Truck;[N/A];Urban;[Moins de 300];0
479;15/04/2022;M;[29-45];oui;oui;[+150k];Private;Minivan;[N/A];Urban;[300-599];0
480;20/04/2022;F;[+65];oui;oui;[50k-99k];Commercial;Pickup;[Moins de 10 ans];Urban;[Moins de 300];1
481;02/05/2022;F;[+65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Rural;[300-599];0
482;21/05/2022;F;[+65];oui;oui;[-50k];Private;Van;[Moins de 10 ans];Urban;[Moins de 300];6
483;01/03/2022;F;[18-28];oui;oui;[50k-99k];Private;SUV;[N/A];Urban;[Moins de 300];0
484;10/05/2022;F;[50-65];oui;oui;[50k-99k];Private;Minivan;[Moins de 10 ans];Urban;[300-599];3
485;06/03/2022;F;[+65];oui;oui;[100k-149k];Private;Sports Car;[10-20];Urban;[300-599];1
